calories,carbohydrates,colestrol,fat,fiber,potassium,protein,sugars,sodium,vitamins,weight
70,5,100,1,10,280,4,130,6,25,1
120,8,102,5,2,135,3,15,8,30,1
70,7,103,1,9,320,4,260,5,25,1
50,8,70,0,14,330,4,140,8,25,1
110,14,99,2,1,98.666667,2,200,8,25,1
110,10.5,111,2,1.5,70,2,180,10,25,1
110,11,100,0,1,30,2,125,14,25,1
130,18,80,2,2,100,3,210,8,25,1.33
90,15,90,1,4,125,2,200,6,25,1
90,13,70,0,5,190,3,210,5,25,1
120,12,98,2,0,35,1,220,12,25,1
110,17,97,2,2,105,6,290,1,15,2
120,13,96,3,0,45,1,210,9,25,1
110,13,90,2,2,105,3,140,7,25,1
110,12,89,1,0,55,1,180,13,25,1
110,22,78,0,0,25,2,280,3,20,1
100,21,78,0,1,35,2,290,2,25,2
110,13,78,0,1,20,1,90,12,25,1
110,12,90,1,0,65,1,180,13,25,1
110,10,90,3,4,160,3,140,7,25,1
100,21,78,0,1,98.666667,3,80,25,25,2
110,21,79,0,1,30,2,220,3,25,1
100,11,70,1,2,120,2,140,10,25,1
100,18,89,0,1,80,2,190,5,25,1
110,11,80,1,1,30,2,125,13,25,1
110,14,87,0,1,25,1,200,11,25,1
100,14,60,0,3,100,3,25,7,25,1
120,12,78,2,5,200,3,160,10,25,1.25
120,14,79,0,5,190,3,240,12,25,1.33
110,13,75,1,0,25,1,135,12,25,1
